username,rating,text,date,ct,company
"{'name': 'Sanjay Pansare', 'link': 'https://www.google.com/maps/contrib/117204530380020175638?hl=en-US', 'contributor_id': '117204530380020175638', 'thumbnail': 'https://lh3.googleusercontent.com/a-/ALV-UjUAi4gSqzQf6yLUDD5uGZwvqg1YH5M-ndV8AUTk3eyOClXAfoQ=s120-c-rp-mo-br100', 'reviews': 1, 'photos': 0}",5.0,"Yashashree madam is very knowledgeable about tally. Whenever we raised any query, it has been solved by her. We don't have a single incidence where our query was not unsolved by her. We really appreciate her knowledge and polite behavior. Our sincere thanks to her & best wishes.",a month ago,pune,Prism IT Solutions Pvt. Ltd.
"{'name': 'Preeti Kumari', 'link': 'https://www.google.com/maps/contrib/116890832943424763050?hl=en-US', 'contributor_id': '116890832943424763050', 'thumbnail': 'https://lh3.googleusercontent.com/a-/ALV-UjWLsXug-mAleLgH5W43TY1EAxJdn_TuVY0KcfbHpdi8fCZl5v8=s120-c-rp-mo-br100', 'local_guide': True, 'reviews': 3, 'photos': 0}",5.0,"""I am thoroughly impressed with the support I received! The team was responsive, knowledgeable, and went above and beyond to resolve my issue quickly. They patiently answered all my questions and provided clear instructions that made it easy for me to understand. I felt genuinely valued as a customer, and it’s clear they are committed to delivering outstanding service.",4 months ago,pune,Prism IT Solutions Pvt. Ltd.
"{'name': 'Nandkishor Khapre', 'link': 'https://www.google.com/maps/contrib/104141850511025251767?hl=en-US', 'contributor_id': '104141850511025251767', 'thumbnail': 'https://lh3.googleusercontent.com/a/ACg8ocKCVRzwx9-pOJSDqL_W2WVrakWtYYfsJqNoZVxxdbdHDax46w=s120-c-rp-mo-br100', 'reviews': 1, 'photos': 0}",5.0,"Excellent support system.
Very quick resolution of any queries. We got excellent support from Yashshri Madam. Thank a lot for your kind support.",3 weeks ago,pune,Prism IT Solutions Pvt. Ltd.
"{'name': 'VISHWAKARMA ENTERPRISES', 'link': 'https://www.google.com/maps/contrib/115220279080883685888?hl=en-US', 'contributor_id': '115220279080883685888', 'thumbnail': 'https://lh3.googleusercontent.com/a-/ALV-UjWCN1xyPGSV-RseVwsCwoXykm5fGeOqaLcrzfstCjxfZL1UH1U=s120-c-rp-mo-br100', 'local_guide': True, 'reviews': 1, 'photos': 0}",4.0,solved the problem by very good communication and quick service to Prism team special thank you from Toshiba mam.,5 days ago,pune,Prism IT Solutions Pvt. Ltd.
"{'name': 'prashant bansal', 'link': 'https://www.google.com/maps/contrib/107220944225578402831?hl=en-US', 'contributor_id': '107220944225578402831', 'thumbnail': 'https://lh3.googleusercontent.com/a/ACg8ocLCJJeW4xHUMdAkD_whvERpnbnlVF8JkF70Fsqon-c_21iYZQ=s120-c-rp-mo-br100', 'reviews': 1, 'photos': 0}",4.0,"i've been facing issue regarding E-invoice, Miss rama solved that issue quickly and generated E-invoice quickly from tally prime, very quick support from prism it solution, thank you",a month ago,pune,Prism IT Solutions Pvt. Ltd.
"{'name': 'Pallav Kaushik', 'link': 'https://www.google.com/maps/contrib/112623153114670007279?hl=en-US', 'contributor_id': '112623153114670007279', 'thumbnail': 'https://lh3.googleusercontent.com/a/ACg8ocL_bM3E3c83O6WOhfDG6omfSBMPpW3QyuVNIqqm6Q-jMmGFnA=s120-c-rp-mo-br100', 'reviews': 1, 'photos': 0}",5.0,"I am truly grateful to the Prism team for providing highly commendable service.
I would like to express my sincere appreciation to Prism and the entire support team for their exceptional assistance and prompt responses.",4 months ago,pune,Prism IT Solutions Pvt. Ltd.
"{'name': 'VishnuVardhan', 'link': 'https://www.google.com/maps/contrib/117024647770992963913?hl=en-US', 'contributor_id': '117024647770992963913', 'thumbnail': 'https://lh3.googleusercontent.com/a-/ALV-UjXD348VR-3lfCDv9WzPYpkdTi6jKemtjVgI0RPvngyLRydD_OvhkA=s120-c-rp-mo-br100', 'reviews': 1, 'photos': 0}",5.0,Dear Yashashree you provide best service & explained how to converted tally ERP 9 silver to tally prime silver 4.1  version. all queries solved & explained very nicely.,5 months ago,pune,Prism IT Solutions Pvt. Ltd.
"{'name': 'Accounts Arya', 'link': 'https://www.google.com/maps/contrib/118422795590123004206?hl=en-US', 'contributor_id': '118422795590123004206', 'thumbnail': 'https://lh3.googleusercontent.com/a/ACg8ocLWP4gXoIyQUqQoV3QI-UXiws7t1v4jbTgHFQRm8RUcmBVlrQ=s120-c-rp-mo-br100', 'reviews': 1, 'photos': 0}",5.0,"Vaishnavi mam is very good supportive person, I appreciate your cooperation
service was quick and the staff was friendly",a month ago,pune,Prism IT Solutions Pvt. Ltd.
"{'name': 'Tamthing Ronra', 'link': 'https://www.google.com/maps/contrib/116113966450231927345?hl=en-US', 'contributor_id': '116113966450231927345', 'thumbnail': 'https://lh3.googleusercontent.com/a-/ALV-UjXCIM_r8AJzuCn29hGQzh7KQu9wHRYyNJ_UU-bleLft8wBwqBv4=s120-c-rp-mo-br100', 'reviews': 3, 'photos': 0}",5.0,"Been working in  Talentica for the last 3 years. work life balance is good. management is transparent. enough opportunities to learn and grow. another good thing is that the company shows it's concerns for the employees by conducting numerous beneficial trainings from time to time. Nitin and Manju, the heads, are quite gentle and friendly. However, I do not like the quality of the office biscuits! :D",7 years ago,pune,Talentica Software (I) Pvt. Ltd.
"{'name': 'Alakh Sharma', 'link': 'https://www.google.com/maps/contrib/115103394412327306231?hl=en-US', 'contributor_id': '115103394412327306231', 'thumbnail': 'https://lh3.googleusercontent.com/a-/ALV-UjUIzV0yCJ7QLFfI_i-ONpZj47-xx_Z2p6jz88lzdLKXyqH8RJo=s120-c-rp-mo-ba4-br100', 'local_guide': True, 'reviews': 33, 'photos': 31}",5.0,Best place to work.,6 months ago,pune,Talentica Software (I) Pvt. Ltd.
"{'name': 'Rahul Monde', 'link': 'https://www.google.com/maps/contrib/107567480260997677756?hl=en-US', 'contributor_id': '107567480260997677756', 'thumbnail': 'https://lh3.googleusercontent.com/a-/ALV-UjVHiS3okwsoxDkH2PpRF9MZmXJk4XNMtFOEUfZGAojEU_Y5-JQ1=s120-c-rp-mo-ba3-br100', 'local_guide': True, 'reviews': 46, 'photos': 86}",5.0,Have been to this place for several meetups in last one year. Very neat and employee friendly environment. Learned a lot in all these meet ups.,7 years ago,pune,Talentica Software (I) Pvt. Ltd.
"{'name': 'Sachchidanand tripathi', 'link': 'https://www.google.com/maps/contrib/110832349136752732111?hl=en-US', 'contributor_id': '110832349136752732111', 'thumbnail': 'https://lh3.googleusercontent.com/a-/ALV-UjUDnxxzlzJFJuDf5-ZVUaPe3tzPgUGQvqABfshYSpn-HMM3_wbfsA=s120-c-rp-mo-ba2-br100', 'local_guide': True, 'reviews': 20, 'photos': 7}",5.0,One of the best company to work for. Best work culture I ever came across in my professional journey. Surrounded by some of the best minds from the country.,7 years ago,pune,Talentica Software (I) Pvt. Ltd.
"{'name': 'Abhishek Anand', 'link': 'https://www.google.com/maps/contrib/107790374891090518264?hl=en-US', 'contributor_id': '107790374891090518264', 'thumbnail': 'https://lh3.googleusercontent.com/a-/ALV-UjXoCyllg9AbKTHdYYal3noRXeRkyYNqFOHFTKwPIqmsQ9yUNg=s120-c-rp-mo-br100', 'local_guide': True, 'reviews': 6, 'photos': 0}",5.0,Great place to work at. One of the best work culture and really helpful and approachable CEOs. You can learn a lot from everyone around here.,5 years ago,pune,Talentica Software (I) Pvt. Ltd.
"{'name': 'Puneet Sharma', 'link': 'https://www.google.com/maps/contrib/102037727773870777674?hl=en-US', 'contributor_id': '102037727773870777674', 'thumbnail': 'https://lh3.googleusercontent.com/a-/ALV-UjWkUuH8KwJIoG1xtsKRIwcjdr5ihKJMbEVaXZCYEYE1uf5P-nqz3Q=s120-c-rp-mo-ba7-br100', 'local_guide': True, 'reviews': 290, 'photos': 7541}",5.0,"One of the best companies to work for. Has start-up projects , work environment is terrific, learning is good, and looks after it's employees.",5 years ago,pune,Talentica Software (I) Pvt. Ltd.
"{'name': 'Mukesh Verma', 'link': 'https://www.google.com/maps/contrib/103001586295391088632?hl=en-US', 'contributor_id': '103001586295391088632', 'thumbnail': 'https://lh3.googleusercontent.com/a-/ALV-UjV62-K0YhxkhcCdApl-dbIs32nHBTCySa3QcxC_1ql71vfZCd-c=s120-c-rp-mo-ba3-br100', 'local_guide': True, 'reviews': 33, 'photos': 85}",5.0,It's a good company to work with. I am really interested to work with them if someday I get opportunity.,6 years ago,pune,Talentica Software (I) Pvt. Ltd.
"{'name': 'VILAS PAWAR', 'link': 'https://www.google.com/maps/contrib/116983125685110722681?hl=en-US', 'contributor_id': '116983125685110722681', 'thumbnail': 'https://lh3.googleusercontent.com/a-/ALV-UjVYohc72VYiNLTKxGx1Yvhy174INHmAGnq3x287L0kqCJ4anXBGPw=s120-c-rp-mo-ba3-br100', 'local_guide': True, 'reviews': 28, 'photos': 7}",4.0,It's a Software company which provides plenty of services to the new startups located on Baner Pashan link road near HDFC bank,3 years ago,pune,Talentica Software (I) Pvt. Ltd.
"{'name': 'Raj D', 'link': 'https://www.google.com/maps/contrib/100954916118749703774?hl=en-US', 'contributor_id': '100954916118749703774', 'thumbnail': 'https://lh3.googleusercontent.com/a-/ALV-UjUGC0kNLsRma_ur7Vm42ihTiXsL1V28w8txy1D4FhB2ZeRI7yqvWw=s120-c-rp-mo-ba4-br100', 'local_guide': True, 'reviews': 38, 'photos': 273}",5.0,The best place to work. Understands individual's skills and groom them well to enrich. Most people have/are working for years.,8 months ago,pune,Cybage Software Private Limited
"{'name': 'Sumeet Dagde', 'link': 'https://www.google.com/maps/contrib/104780167461343133570?hl=en-US', 'contributor_id': '104780167461343133570', 'thumbnail': 'https://lh3.googleusercontent.com/a-/ALV-UjUbO0-983ND82KqC0d1plZ3jqnjqC_XDrRxOzcUw_QtE0z3vjaVXA=s120-c-rp-mo-ba3-br100', 'local_guide': True, 'reviews': 42, 'photos': 88}",5.0,"Best place to work.
Dmart, DIY nearby.
Huge Parking space.
Great place to work.",a year ago,pune,Cybage Software Private Limited
"{'name': 'Nofij Barudwale', 'link': 'https://www.google.com/maps/contrib/108214983700308394065?hl=en-US', 'contributor_id': '108214983700308394065', 'thumbnail': 'https://lh3.googleusercontent.com/a-/ALV-UjWffg0AjZZ_tfiZyOMDHpEw44Sd9B-xLv2rvMjIRW0onL0bxDk=s120-c-rp-mo-ba4-br100', 'local_guide': True, 'reviews': 67, 'photos': 37}",5.0,"Cybage Software delivers exceptional IT solutions with a focus on innovation and client satisfaction, while also promoting a great work life balance for its employees.",a month ago,pune,Cybage Software Private Limited
"{'name': 'Ajay Suryawanshi', 'link': 'https://www.google.com/maps/contrib/108574814485712404499?hl=en-US', 'contributor_id': '108574814485712404499', 'thumbnail': 'https://lh3.googleusercontent.com/a-/ALV-UjWkwFFZpaGpj52JHYyfV9aysBVn1l_GpnQMhUTHQ8f1R70fFqcNjA=s120-c-rp-mo-ba2-br100', 'local_guide': True, 'reviews': 5, 'photos': 46}",5.0,Best place to work... as I am working here in the Software Developer position...,8 months ago,pune,Cybage Software Private Limited
"{'name': 'Ravindra Vangipuram', 'link': 'https://www.google.com/maps/contrib/101253769791688630516?hl=en-US', 'contributor_id': '101253769791688630516', 'thumbnail': 'https://lh3.googleusercontent.com/a-/ALV-UjWKEVyawmdAiuPmUDCSFsZPA-9fmsQ-2-SpqNfyBTR26pkEzyQJfQ=s120-c-rp-mo-ba6-br100', 'local_guide': True, 'reviews': 1747, 'photos': 1565}",4.0,It's also called as twin towers of Cybage. It is located near East Avenue. The other Cybage office is in West Avenue. These are two similar towers. There is a fountain within the campus with some greenery. There are either pool or table tennis tables on each floor. The work culture is nice which you find in other locations as well.,5 years ago,pune,Cybage Software Private Limited
"{'name': 'Abhishek Singh', 'link': 'https://www.google.com/maps/contrib/109558636296482806040?hl=en-US', 'contributor_id': '109558636296482806040', 'thumbnail': 'https://lh3.googleusercontent.com/a-/ALV-UjVv5u2zBmDzQwgAeNl2StBs4PQkqW5jkN2pv67tkajG3d-ntisG0w=s120-c-rp-mo-ba4-br100', 'local_guide': True, 'reviews': 68, 'photos': 127}",5.0,"Employee Friendly Company, Excellent Infrastructure. Office is situated in the heart of city. Malls, restaurants, airport, railway station are all nearby.",2 years ago,pune,Cybage Software Private Limited
"{'name': 'श्रीनाथ गादेकर', 'link': 'https://www.google.com/maps/contrib/106566555283375326040?hl=en-US', 'contributor_id': '106566555283375326040', 'thumbnail': 'https://lh3.googleusercontent.com/a-/ALV-UjVj8GMEHVW6FHR0J343i4SqVlsMrijYcuNWaeg6Zys7Qz-tQTpT=s120-c-rp-mo-ba4-br100', 'local_guide': True, 'reviews': 58, 'photos': 136}",5.0,It's good company for freshers to grow and work environment is also good.,2 years ago,pune,Cybage Software Private Limited
